# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.XML.size.bytes,1773650275901000000,1773650310306000000,5
lexer.SCSS.time.ns,1773650275901000000,1773650310306000000,14313820
lexer.XML.size.bytes,1773650275901000000,1773650310306000000,5
lexer.SCSS.size.bytes,1773650275901000000,1773650310306000000,128330
parser.ECMAScript.6.size.bytes,1773650275901000000,1773650310306000000,13236745
lexer.yaml.size.bytes,1773650275901000000,1773650310306000000,7231
parser.EditorConfig.size.bytes,1773650275901000000,1773650310306000000,628
lexer.HTTP.Request.time.ns,1773650275901000000,1773650310306000000,108775112
lexer.HTTP.Request.size.bytes,1773650275901000000,1773650310306000000,56640
parser.SCSS.time.ns,1773650275901000000,1773650310306000000,80089584
parser.yaml.size.bytes,1773650275901000000,1773650310306000000,7231
DiskQueryRelay.tasksRequested,1773650275901000000,1773650310306000000,15286
lexer.JQuery-CSS.time.ns,1773650275901000000,1773650310306000000,409287
lexer.JQuery-CSS.size.bytes,1773650275901000000,1773650310306000000,1196
parser.HTTP.Request.size.bytes,1773650275901000000,1773650310306000000,56640
parser.IgnoreLang.time.ns,1773650275901000000,1773650310306000000,4100098
parser.IgnoreLang.size.bytes,1773650275901000000,1773650310306000000,1778
lexer.EditorConfig.time.ns,1773650275901000000,1773650310306000000,891742
lexer.textmate.size.bytes,1773650275901000000,1773650310306000000,60950
lexer.EditorConfig.size.bytes,1773650275901000000,1773650310306000000,628
lexer.IgnoreLang.size.bytes,1773650275901000000,1773650310306000000,1778
lexer.Angular181Html.size.bytes,1773650275901000000,1773650310306000000,2970155
parser.EditorConfig.time.ns,1773650275901000000,1773650310306000000,3669736
DiskQueryRelay.taskWaitingTotalTimeUs,1773650275901000000,1773650310306000000,3395853
DiskQueryRelay.taskExecutionTotalTimeUs,1773650275901000000,1773650310306000000,3205238
lexer.JSON.time.ns,1773650275901000000,1773650310306000000,26259207
parser.JQuery-CSS.time.ns,1773650275901000000,1773650310306000000,1923017
lexer.ECMAScript.6.time.ns,1773650275901000000,1773650310306000000,432357308
lexer.JSRegexp.time.ns,1773650275901000000,1773650310306000000,646892
parser.RELAX-NG.size.bytes,1773650275901000000,1773650310306000000,1631
parser.textmate.size.bytes,1773650275901000000,1773650310306000000,60950
lexer.RELAX-NG.time.ns,1773650275901000000,1773650310306000000,2029458
parser.RELAX-NG.time.ns,1773650275901000000,1773650310306000000,1139323
parser.ECMAScript.6.time.ns,1773650275901000000,1773650310306000000,2108372816
parser.textmate.time.ns,1773650275901000000,1773650310306000000,5227593
writeAction.median.wait.ms,1773650275901000000,1773650310306000000,400
parser.XML.time.ns,1773650275901000000,1773650310306000000,817675
parser.TypeScript.size.bytes,1773650275901000000,1773650310306000000,32102868
parser.CSS.size.bytes,1773650275901000000,1773650310306000000,515704
parser.SCSS.size.bytes,1773650275901000000,1773650310306000000,128330
lexer.JSON.size.bytes,1773650275901000000,1773650310306000000,1639469
lexer.RELAX-NG.size.bytes,1773650275901000000,1773650310306000000,1631
parser.JQuery-CSS.size.bytes,1773650275901000000,1773650310306000000,1196
lexer.IgnoreLang.time.ns,1773650275901000000,1773650310306000000,552715
writeAction.max.wait.ms,1773650275901000000,1773650310306000000,223
lexer.CSS.size.bytes,1773650275901000000,1773650310306000000,515704
parser.TypeScript.time.ns,1773650275901000000,1773650310306000000,7670487151
lexer.TypeScript.size.bytes,1773650275901000000,1773650310306000000,26518411
parser.HTTP.Request.time.ns,1773650275901000000,1773650310306000000,87222261
lexer.CSS.time.ns,1773650275901000000,1773650310306000000,151489098
DiskQueryRelay.tasksExecuted,1773650275901000000,1773650310306000000,15286
parser.JSRegexp.time.ns,1773650275901000000,1773650310306000000,811287
lexer.JSRegexp.size.bytes,1773650275901000000,1773650310306000000,121
writeAction.wait.ms,1773650275901000000,1773650310306000000,444
lexer.ECMAScript.6.size.bytes,1773650275901000000,1773650310306000000,4776251
lexer.XML.time.ns,1773650275901000000,1773650310306000000,18803
parser.Angular181Html.size.bytes,1773650275901000000,1773650310306000000,2970155
parser.JSON.size.bytes,1773650275901000000,1773650310306000000,1639469
workspaceModel.on.before.changed.ms,1773650275901000000,1773650310306000000,43
workspaceModel.updates.count,1773650275901000000,1773650310306000000,11
workspaceModel.loading.total.ms,1773650275901000000,1773650310306000000,17
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1773650275901000000,1773650310306000000,39
workspaceModel.cachedValueWithParameters.from.cache.count,1773650275901000000,1773650310306000000,0
workspaceModel.workspaceFileIndexData.instances.count,1773650275901000000,1773650310306000000,1
workspaceModel.cachedValueWithParameters.clear.count,1773650275901000000,1773650310306000000,0
workspaceModel.cachedValue.clear.count,1773650275901000000,1773650310306000000,9
workspaceModel.cachedValue.from.cache.count,1773650275901000000,1773650310306000000,5980
workspaceModel.pre.handlers.ms,1773650275901000000,1773650310306000000,0
workspaceModel.to.snapshot.ms,1773650275901000000,1773650310306000000,1
workspaceModel.cachedValue.total.get.count,1773650275901000000,1773650310306000000,6022
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1773650275901000000,1773650310306000000,39
workspaceModel.cachedValue.calculated.count,1773650275901000000,1773650310306000000,42
workspaceModel.updates.precise.ms,1773650275901000000,1773650310306000000,24
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1773650275901000000,1773650310306000000,0
workspaceModel.initializing.ms,1773650275901000000,1773650310306000000,1
workspaceModel.collect.changes.ms,1773650275901000000,1773650310306000000,0
workspaceModel.check.recursive.update.ms,1773650275901000000,1773650310306000000,2
workspaceModel.full.replace.project.model.ms,1773650275901000000,1773650310306000000,30
workspaceModel.updates.ms,1773650275901000000,1773650310306000000,160
workspaceModel.loading.from.cache.ms,1773650275901000000,1773650310306000000,13
workspaceModel.workspaceFileIndexData.getPackageName.ms,1773650275901000000,1773650310306000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1773650275901000000,1773650310306000000,5
workspaceModel.entityStorageSnapshotImpl.instances.count,1773650275901000000,1773650310306000000,42
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1773650275901000000,1773650310306000000,0
workspaceModel.update.unloaded.entities.ms,1773650275901000000,1773650310306000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1773650275901000000,1773650310306000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1773650275901000000,1773650310306000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1773650275901000000,1773650310306000000,265
workspaceModel.workspaceFileIndexData.init.ms,1773650275901000000,1773650310306000000,2
workspaceModel.on.changed.ms,1773650275901000000,1773650310306000000,74
workspaceModel.cachedValueWithParameters.total.get.count,1773650275901000000,1773650310306000000,0
workspaceModel.init.bridges.ms,1773650275901000000,1773650310306000000,3
workspaceModel.replace.project.model.ms,1773650275901000000,1773650310306000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1773650275901000000,1773650310306000000,0
JVM.threadCount,1773650275901000000,1773650310306000000,140
JVM.newThreadsCount,1773650275901000000,1773650310306000000,193
JVM.usedNativeBytes,1773650275901000000,1773650310306000000,425476344
JVM.totalBytesAllocated,1773650275901000000,1773650310306000000,13023662592
JVM.GC.collections,1773650275901000000,1773650310306000000,83
JVM.maxThreadCount,1773650275901000000,1773650310306000000,152
JVM.totalSafepointCount,1773650275901000000,1773650310306000000,423
JVM.totalTimeToSafepointsMs,1773650275901000000,1773650310306000000,89
JVM.totalDirectByteBuffersBytes,1773650275901000000,1773650310306000000,53320250
JVM.GC.collectionTimesMs,1773650275901000000,1773650310306000000,592
JVM.totalTimeAtSafepointsMs,1773650275901000000,1773650310306000000,684
OS.loadAverage,1773650275901000000,1773650310306000000,5.2
JVM.totalCpuTimeMs,1773650275901000000,1773650310306000000,219830
JVM.maxHeapBytes,1773650275901000000,1773650310306000000,23269998592
JVM.usedHeapBytes,1773650275901000000,1773650310306000000,711316104
NonBlockingReadAction.failedExecutionsCount,1773650275901000000,1773650310306000000,12
NonBlockingReadAction.finalizedExecutionsCount,1773650275901000000,1773650310306000000,612
NonBlockingReadAction.finalizedExecutionTimeUs,1773650275901000000,1773650310306000000,567722
NonBlockingReadAction.failedExecutionTimeUs,1773650275901000000,1773650310306000000,441544
AWTEventQueue.dispatchTimeTotalNS,1773650275901000000,1773650310306000000,2243485316
